outer_id,source_row_index,age_realization_id,ngrip_realization_id,mis6_realization_id,n_response_events,response_exposure_kyr,response_end_kyr_bp__NGRIP,response_end_kyr_bp__MIS6,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__mis6_segment,beta__pre_phase_sin,beta__pre_phase_cos
42,9837,joint_09838,NGRIP_00125,8437,53,163.48403100000002,113.94265,194.041381,-0.7933946386112865,-0.8791868783338757,2.8279627913455196,1.137457976734917,-0.22163245603911405,-0.5141077537939525,0.9012965541715563
43,6484,joint_06485,NGRIP_07626,8103,53,166.114325,115.969367,194.644958,-0.80095359900659,-0.6986557352001296,2.247718320814711,0.48793726082535027,-0.2653717113375763,-0.3591586856838985,0.5475464753683736
44,944,joint_00945,NGRIP_09321,1065,53,166.404414,116.801511,194.102903,-0.7165628139482698,-0.9647004845213143,2.13317017305449,0.10907702112859582,-0.27690661711068654,-0.4706974351855666,0.7687333898182164
45,4384,joint_04385,NGRIP_07478,2098,53,166.36805600000002,115.808475,195.059581,-0.811991384055025,-0.8225022442751109,1.5361847001202156,-0.315623270568809,-0.22506004987762,-0.3653543216869417,0.9196151636875575
46,452,joint_00453,NGRIP_08238,3414,53,163.858656,113.844908,194.513748,-0.6624667922947467,-1.0849208054509012,1.1401608542336061,-1.3127916393349777,-0.3557578469273416,-0.6254910602649847,0.8434658008021703
47,1219,joint_01220,NGRIP_02949,3441,53,166.274796,116.52195,194.252846,-0.767858110353775,-0.8673898274450228,2.1670972208898958,0.2612690047114856,-0.25262709221533614,-0.5060997073926188,0.7517696386450748
48,451,joint_00452,NGRIP_04100,96,53,164.500216,115.697453,193.302763,-0.7439096401263797,-0.9150182096817804,1.8690020636389055,0.1860541900201504,-0.21076502587521584,-0.5266363468770103,0.7516958476498132
49,3878,joint_03879,NGRIP_04918,505,53,163.79315100000002,113.974956,194.318195,-0.6975768068962089,-1.0272433141477777,2.405667874552773,0.6470440517817827,-0.25862021390604856,-0.5144927603767395,0.8268622540802731
50,25,joint_00026,NGRIP_02881,3853,53,164.930071,115.188206,194.241865,-0.7542934457134662,-0.9662220669604661,1.5931512365997362,-0.32061369858856836,-0.22830135454190542,-0.5203961709644968,0.9602866518509621
51,3285,joint_03286,NGRIP_07903,3780,53,164.84672700000002,114.817013,194.529714,-0.6855418554170553,-1.0683744194254623,1.7971257282267672,-0.22716107924049495,-0.2544372921376459,-0.40518746997603194,0.8685052550971563
52,469,joint_00470,NGRIP_03356,9605,53,165.77281900000003,115.769288,194.503531,-0.7660354310443805,-0.963338232721142,2.4288905990279592,0.840884576987779,-0.17593315534777745,-0.5347597035255776,0.8736321958665851
53,5243,joint_05244,NGRIP_07015,9640,53,163.470841,113.961044,194.009797,-0.7377657019210545,-0.9675310017185343,1.7448643827241415,-0.11780586190197107,-0.23036382950464054,-0.4904511080245819,0.9142128085180405
54,1596,joint_01597,NGRIP_00557,1974,53,163.01134000000002,113.937836,193.573504,-0.6904959562934824,-0.9904374020980219,1.7870610971642327,-0.35476343192737,-0.29820611109702844,-0.4176704157537063,0.8060906081776393
55,5790,joint_05791,NGRIP_09038,3134,53,166.926569,116.708888,194.717681,-0.8058873656136207,-0.778614531120689,1.9268610523519802,-0.20686264057247852,-0.26150690198565496,-0.24094036922570566,0.8227299727927108
56,7775,joint_07776,NGRIP_06794,9879,53,166.53467899999998,116.541513,194.493166,-0.8267949556039693,-0.6369654121243481,2.1784246407905736,0.34618048911673877,-0.26428931708967063,-0.28687566084350835,0.5403612084281558
57,6146,joint_06147,NGRIP_05076,9592,53,167.15594399999998,117.223091,194.432853,-0.7209101041812598,-0.9616068215979284,1.8824752023606948,-0.11991799641357559,-0.27692056224669426,-0.5476897160382453,0.7369633977362194
58,2541,joint_02542,NGRIP_06468,8078,53,166.380991,115.601111,195.27988,-0.785018895332247,-0.7721326213305935,1.6852292619235616,-0.08795651109680214,-0.270320704446002,-0.36868337987909333,0.7135851409065982
59,7001,joint_07002,NGRIP_05737,6643,53,166.782246,117.24973,194.032516,-0.8005582700676239,-0.9022193489434241,2.4688885839544397,0.925543263935768,-0.1479255374918471,-0.45344385917915014,0.899492116525915
