realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_08655,NGRIP_03231,1855,True,,55,8.53928867,0.0139867568,0.111996267,-4.48090785,334.538748,3.44640146,True,True,False
joint_08656,NGRIP_02557,4735,True,,55,12.6276689,0.00181107543,0.165617048,-8.56928808,324.697926,4.55866171,True,True,False
joint_08657,NGRIP_05748,9491,True,,55,14.5995812,0.000675680265,0.191479485,-10.5412003,328.666564,5.12918272,True,True,False
joint_08658,NGRIP_08964,1851,True,,55,10.1122943,0.00637005515,0.13262688,-6.05391348,321.599867,3.87839146,True,True,False
joint_08659,NGRIP_07186,3289,True,,55,13.7103935,0.00105396423,0.179817425,-9.6520127,330.933352,4.89209648,True,True,False
joint_08660,NGRIP_00655,8227,True,,55,12.8066481,0.00165604338,0.167964433,-8.74826723,328.650666,4.78651786,True,True,False
joint_08661,NGRIP_08899,779,True,,55,11.925045,0.00257341235,0.156401848,-7.86666417,344.030879,4.45371402,True,True,False
joint_08662,NGRIP_00515,6543,True,,55,13.4714135,0.00118773547,0.176683104,-9.41303268,333.749981,4.84663229,True,True,False
joint_08663,NGRIP_01933,1350,False,"NGRIP observation support [12, 123] kyr BP: NGRIP:GI-25=124.617",,,,,,,,,,
joint_08664,NGRIP_03022,3546,True,,55,10.7639279,0.0045987812,0.141173322,-6.70554711,327.495576,4.05233746,True,True,False
