phase_deg,mc_q025,mc_median,mc_q975
239.5,0.8477145698794432,0.9302807119000711,1.0131694290648896
240.0,0.85176794765242,0.93483541670254,1.018181405684398
240.5,0.855679456051287,0.9393576729822115,1.0232184326102334
241.0,0.8596817103222575,0.9440117638021943,1.028365889001726
241.5,0.8637693954088619,0.9485618849947195,1.033541090295017
242.0,0.867745739893384,0.953228415254304,1.038723287858282
242.5,0.8720459282126752,0.957949737481064,1.0437487067124651
243.0,0.8760543852945,0.9626585108995742,1.0489875158485857
243.5,0.8801791363635989,0.9672761603525375,1.0544201374521616
244.0,0.8842740487232044,0.9719357817673875,1.0594642425080074
244.5,0.8884418444624256,0.9766432467435202,1.0649213896772938
245.0,0.8926203349579626,0.9814697227268299,1.0704913247033387
245.5,0.8969656609273604,0.9863677260296732,1.0761602269200332
246.0,0.901265926039015,0.9912246721094016,1.0815188310052426
246.5,0.9056970261660178,0.9959847215661193,1.086945197267147
247.0,0.909794569357213,1.0008784067037464,1.0923165903709848
247.5,0.9140934423228158,1.005784175531611,1.0975566653881275
248.0,0.9181216409267938,1.0106729743697973,1.1030024889187016
248.5,0.9225037567613446,1.0155851359820511,1.108600074580134
249.0,0.9268726885505638,1.0204762165386563,1.1140828936267855
249.5,0.9312314653326426,1.0254775135564445,1.1197366058818907
250.0,0.9357040426627536,1.030508613401603,1.1256301221702587
250.5,0.9400127515888403,1.0355087219946764,1.1315066015210626
251.0,0.944298396631447,1.0405628144921781,1.1370416797481846
251.5,0.9488168126048726,1.0456654519989454,1.1428349090559122
252.0,0.9531887951222783,1.050797377951995,1.1484258081844345
252.5,0.9577697904184254,1.0559082797475101,1.1540886991812227
253.0,0.9623697408832875,1.0611215079635916,1.1601144038263829
253.5,0.9668454218618379,1.0662275225740605,1.1656727008751806
254.0,0.9712266879103132,1.0713864294618602,1.1715087464838718
254.5,0.9759187705022472,1.076563335373248,1.1772528647239857
255.0,0.9803593193732745,1.081862957000657,1.183122395403738
255.5,0.9850053178685375,1.0870416433631211,1.1892043409452087
256.0,0.9896790248993986,1.0922895079401678,1.195037525198027
256.5,0.9943749224931666,1.0975059084745742,1.2009556974287598
257.0,0.9990950849615157,1.1028618322053747,1.2069975400380284
257.5,1.0038544989624973,1.1082773114344349,1.2129544551551008
258.0,1.0085694717236484,1.1134346229148187,1.2187270187336499
258.5,1.0129139488334196,1.1187035464283164,1.2246941320193712
259.0,1.0177166333620409,1.1242098325526444,1.2307264962206457
259.5,1.0224258069529013,1.1295586496673495,1.2367072170065725
260.0,1.0269952899049875,1.1350282843953559,1.2427370767883823
260.5,1.031570374749999,1.1404393599372025,1.248849886818957
261.0,1.0362343617577914,1.1459514696243027,1.2554071656716643
261.5,1.0410659414199626,1.1513774163511936,1.2612208745994185
262.0,1.04562255520705,1.1567458927263514,1.2672712103940436
262.5,1.0504133332775094,1.1621075408894153,1.2733453452080286
263.0,1.0550910552688755,1.1678070498195314,1.279525319913508
263.5,1.0598988975123023,1.173345160735341,1.285816272947128
264.0,1.0647587968428116,1.178987709944686,1.2917951426606205
264.5,1.0694168077457236,1.1845757507134396,1.2980661731997107
265.0,1.0742088278182682,1.190057952973767,1.3042620159777878
265.5,1.0792503983729438,1.1955995456970312,1.3106993536966138
266.0,1.084222799644357,1.201338702222342,1.317035248114883
266.5,1.089078580716202,1.2070791870435416,1.3234930606969197
267.0,1.094042349606029,1.212682396914349,1.3298959442352183
267.5,1.0988011382510234,1.2182379379149282,1.336374380284966
268.0,1.103549003707494,1.22388108845819,1.3423003114898773
268.5,1.108628676362247,1.2294851017326969,1.3488301703849965
269.0,1.1136394171527084,1.2350135263784092,1.3550411840104988
269.5,1.1186672817453587,1.2406681670861264,1.3613083759754556
270.0,1.1235642839892437,1.2462946519746358,1.367604553578163
270.5,1.1285622648243507,1.2519797357157523,1.3739425061519333
271.0,1.1333198655012708,1.2576643603876287,1.3804037869979588
271.5,1.1382822635451868,1.2632274837894606,1.387023134056094
272.0,1.1432805115150093,1.2688382231968247,1.3932995881807517
272.5,1.1481224069345612,1.2744701492269255,1.400037108425987
273.0,1.152898052692646,1.2801509869645677,1.4062655408647158
273.5,1.1576692983722772,1.2857071626587588,1.4128759674866866
274.0,1.1626092979524154,1.2912427108469602,1.419224275274952
274.5,1.1674846950823206,1.2968255321697706,1.4256908289712436
275.0,1.1723618545348036,1.3026582185520694,1.4320357871011216
275.5,1.1774007358247622,1.3081858086785108,1.4387391303887
276.0,1.1822818215508486,1.3137432034337944,1.4448601559682328
276.5,1.1870579982411555,1.319395515666944,1.451434351878501
277.0,1.1921561823579736,1.3249947687887629,1.4579281782113072
277.5,1.1975461623366714,1.3305043853544904,1.4648830787073854
