realization_id,within_observation_support,comparison_id,df,LR_statistic,info_bits_per_event,nominal_p,delta_AIC,delta_AICc,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,n_bins,exposure_kyr
joint_03939,True,lr04_phase_interaction,2.0,5.492472856433324,0.07203603047448724,0.0641689116220558,-1.4924728564333236,-1.4158725872238733,-201.4391690512271,-198.69293262301045,True,,True,55.0,901.0,180.0
joint_05783,True,lr04_phase_interaction,2.0,1.274822568747652,0.01671981998132334,0.5286592025178467,2.725177431252348,2.8017777004617983,-199.91717293161062,-199.2797616472368,True,,True,55.0,901.0,180.0
joint_04143,True,lr04_phase_interaction,2.0,5.420186865116079,0.07108797009994969,0.06653059030137391,-1.4201868651160794,-1.343586595906629,-202.91521670191713,-200.2051232693591,True,,True,55.0,901.0,180.0
joint_01181,True,lr04_phase_interaction,2.0,1.5639355269003659,0.02051165480844751,0.45750486362434506,2.436064473099634,2.5126647423090844,-200.73144190246776,-199.94947413901758,True,,True,55.0,901.0,180.0
joint_02877,True,lr04_phase_interaction,2.0,1.639733396692236,0.02150577490716277,0.44049036868722846,2.360266603307764,2.4368668725172142,-199.83598691233604,-199.01612021398992,True,,True,55.0,901.0,180.0
joint_03635,True,lr04_phase_interaction,2.0,0.4978796728918269,0.006529895773095072,0.7796268770975268,3.502120327108173,3.5787205963176234,-198.9763566355136,-198.7274167990677,True,,True,55.0,901.0,180.0
joint_05063,True,lr04_phase_interaction,2.0,1.3312850203660673,0.01746034815356262,0.5139432078565132,2.6687149796339327,2.745315248843383,-198.284814005379,-197.61917149519596,True,,True,55.0,901.0,180.0
joint_07777,True,lr04_phase_interaction,2.0,3.2146723784935602,0.042161744532139896,0.20042078667112287,0.7853276215064398,0.86192789071589,-200.63973734585335,-199.03240115660657,True,,True,55.0,901.0,180.0
joint_06343,True,lr04_phase_interaction,2.0,2.267504503367718,0.02973925002001817,0.3218234255563253,1.732495496632282,1.8090957658417324,-200.72882787322175,-199.5950756215379,True,,True,55.0,901.0,180.0
joint_09833,True,lr04_phase_interaction,2.0,2.9553657319665376,0.03876083168655733,0.22816576699323568,1.0446342680334624,1.1212345372429127,-199.9419130764185,-198.46423021043523,True,,True,55.0,901.0,180.0
