bootstrap_id,attempt_count,n_events_observation_support,n_events_response,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,reduced_converged,full_converged,likelihood_nesting_ok,eta_clipping_used
23,1,65,62,39,23,-224.88307688244151,-221.34642532046072,3.53665156198079,7.07330312396158,True,True,True,False
24,1,69,69,49,20,-240.04508597240553,-238.58417775897527,1.4609082134302582,2.9218164268605165,True,True,True,False
25,1,54,54,36,18,-201.940358473551,-200.71034458351176,1.2300138900392312,2.4600277800784625,True,True,True,False
26,1,63,63,38,25,-227.63476743331086,-226.14081880069028,1.4939486326205724,2.987897265241145,True,True,True,False
27,1,54,53,36,17,-203.34472079770222,-196.76428476794814,6.5804360297540825,13.160872059508165,True,True,True,False
28,1,59,58,35,23,-213.528163476896,-213.21408302611468,0.31408045078131863,0.6281609015626373,True,True,True,False
29,1,46,46,25,21,-180.2841904346264,-180.00684958219102,0.27734085243537265,0.5546817048707453,True,True,True,False
30,1,59,59,39,20,-217.38275874179374,-217.3510144187427,0.031744323051043466,0.06348864610208693,True,True,True,False
31,1,50,50,32,18,-190.93978136004955,-190.5770018786399,0.3627794814096603,0.7255589628193206,True,True,True,False
32,1,47,47,29,18,-184.81055717848787,-184.41804637393355,0.39251080455431975,0.7850216091086395,True,True,True,False
33,1,71,69,45,24,-244.5658906243855,-243.0306580974036,1.5352325269819005,3.070465053963801,True,True,True,False
34,1,57,57,36,21,-209.11234039038567,-208.20256892404234,0.9097714663433294,1.8195429326866588,True,True,True,False
35,1,49,48,27,21,-187.60864488347318,-186.1806235036508,1.4280213798223826,2.8560427596447653,True,True,True,False
36,1,46,46,27,19,-174.4387111107598,-172.98495325636907,1.4537578543907443,2.9075157087814887,True,True,True,False
37,1,65,64,38,26,-231.3495771132195,-230.00714264032138,1.342434472898134,2.684868945796268,True,True,True,False
38,1,57,57,40,17,-206.1293298743478,-205.71652958388046,0.4128002904673451,0.8256005809346902,True,True,True,False
39,1,49,49,31,18,-184.66392029188302,-182.48453942893138,2.179380862951632,4.358761725903264,True,True,True,False
40,1,51,51,28,23,-196.18471293759268,-195.14739927985806,1.0373136577346145,2.074627315469229,True,True,True,False
41,1,50,50,31,19,-187.90844537748615,-187.14211201448512,0.7663333630010243,1.5326667260020486,True,True,True,False
42,1,59,59,36,23,-218.11493163284342,-217.91336003731888,0.20157159552454118,0.40314319104908236,True,True,True,False
43,1,57,57,41,16,-207.76022230817796,-207.43569318961838,0.3245291185595818,0.6490582371191636,True,True,True,False
44,1,50,50,29,21,-188.06664766293682,-187.94354958195515,0.12309808098166286,0.24619616196332572,True,True,True,False
45,1,45,45,29,16,-177.46294208568565,-176.15984671273864,1.3030953729470127,2.6061907458940254,True,True,True,False
46,1,66,65,40,25,-229.43692385743657,-227.92062169731108,1.5163021601254911,3.0326043202509823,True,True,True,False
47,1,46,46,25,21,-178.58773451402362,-174.92498121311075,3.6627533009128683,7.325506601825737,True,True,True,False
48,1,54,53,37,16,-200.76227648320776,-200.3401595926129,0.42211689059485025,0.8442337811897005,True,True,True,False
49,1,61,61,42,19,-220.7740508337115,-219.8482475545194,0.9258032791921096,1.8516065583842192,True,True,True,False
50,1,58,58,41,17,-215.67006806477178,-214.8618121493746,0.8082559153971829,1.6165118307943658,True,True,True,False
51,1,57,56,34,22,-211.0501182209763,-210.49734591431007,0.5527723066662134,1.1055446133324267,True,True,True,False
52,1,58,58,36,22,-216.44050909184548,-216.2988958784964,0.14161321334907484,0.2832264266981497,True,True,True,False
53,1,51,51,35,16,-194.3873870743423,-190.9598590239815,3.42752805036082,6.85505610072164,True,True,True,False
54,1,47,47,34,13,-181.57628918742313,-181.45203694774267,0.12425223968045884,0.24850447936091768,True,True,True,False
55,1,45,45,30,15,-175.05641978685514,-174.5398018392587,0.5166179475964441,1.0332358951928882,True,True,True,False
56,1,66,64,35,29,-231.24551612114402,-230.02689654218727,1.2186195789567478,2.4372391579134955,True,True,True,False
57,1,68,68,43,25,-240.5236297828737,-240.1857723740107,0.33785740886301596,0.6757148177260319,True,True,True,False
58,1,40,40,22,18,-159.90556637533032,-158.1033280471726,1.8022383281577277,3.6044766563154553,True,True,True,False
59,1,50,49,34,15,-189.97707560979703,-188.50749335698066,1.469582252816366,2.939164505632732,True,True,True,False
60,1,46,45,25,20,-178.71561078857573,-176.7044311915322,2.0111795970435367,4.022359194087073,True,True,True,False
61,1,56,55,37,18,-207.34471285750496,-204.66544834225382,2.679264515251134,5.358529030502268,True,True,True,False
62,1,54,54,32,22,-196.2846102486505,-194.62483159004051,1.65977865860998,3.31955731721996,True,True,True,False
63,1,39,37,24,13,-154.2532993687475,-153.4708833011406,0.7824160676069027,1.5648321352138055,True,True,True,False
64,1,51,51,34,17,-186.54578420626024,-184.9625508482878,1.583233357972432,3.166466715944864,True,True,True,False
65,1,58,58,34,24,-215.02628742714936,-214.54891271259902,0.4773747145503364,0.9547494291006728,True,True,True,False
