replicate_id,seed,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,n_intervals,n_adjacent_pairs,residual_status
354,20260917,True,,70,0.0850109191581,0.104045807225,70,69,ok
355,20260917,True,,74,0.101058689256,0.0240984215941,74,73,ok
356,20260917,True,,64,0.0639037126654,0.0365343179714,64,63,ok
357,20260917,True,,64,0.0573705841458,0.132100993368,64,63,ok
358,20260917,True,,71,0.052837771108,0.0148758445814,71,70,ok
359,20260917,True,,57,0.0785262887626,0.0737325740517,57,56,ok
360,20260917,True,,68,0.0994749927465,0.155538819922,68,67,ok
361,20260917,True,,71,0.0896056638743,0.147223108997,71,70,ok
362,20260917,True,,75,0.0622613142738,0.0547398780893,75,74,ok
363,20260917,True,,61,0.117210067085,0.027280691063,61,60,ok
364,20260917,True,,62,0.0558359084943,0.0641488191259,62,61,ok
365,20260917,True,,63,0.0945464347339,0.111548472687,63,62,ok
366,20260917,True,,77,0.123752457597,0.0325084890868,77,76,ok
367,20260917,True,,68,0.067664633329,0.0138369315118,68,67,ok
368,20260917,True,,79,0.0637323389575,0.0523386467308,79,78,ok
369,20260917,True,,67,0.100783594543,0.0292354661517,67,66,ok
370,20260917,True,,69,0.13149589025,0.0760863374919,69,68,ok
371,20260917,True,,73,0.0827129609773,0.079737033512,73,72,ok
372,20260917,True,,65,0.079824737519,0.0890129921959,65,64,ok
373,20260917,True,,77,0.102108787996,0.120383782347,77,76,ok
374,20260917,True,,70,0.0480578612116,0.0371292822563,70,69,ok
375,20260917,True,,62,0.0793514285017,0.169535577606,62,61,ok
376,20260917,True,,66,0.0729024972368,0.0891587483788,66,65,ok
377,20260917,True,,68,0.0974491173593,0.0538417966987,68,67,ok
378,20260917,True,,75,0.0621651453587,0.104867120716,75,74,ok
379,20260917,True,,64,0.0769840867937,0.0587431569996,64,63,ok
380,20260917,True,,67,0.0485908348793,0.0605345352752,67,66,ok
381,20260917,True,,75,0.0678931619304,0.0944931924062,75,74,ok
382,20260917,True,,69,0.0636802648792,0.0148890907659,69,68,ok
383,20260917,True,,66,0.0623775730355,0.0491956346921,66,65,ok
384,20260917,True,,79,0.0657492956765,0.0271567007017,79,78,ok
385,20260917,True,,79,0.108980506612,0.133618863428,79,78,ok
386,20260917,True,,72,0.0589560576848,0.0632166676926,72,71,ok
387,20260917,True,,64,0.0940139471495,0.147420200808,64,63,ok
388,20260917,True,,84,0.0597510824772,0.0166053316898,84,83,ok
389,20260917,True,,51,0.073441440175,0.0384092038017,51,50,ok
390,20260917,True,,64,0.104583006344,0.00769759190364,64,63,ok
391,20260917,True,,66,0.0614917143811,0.171892448142,66,65,ok
392,20260917,True,,70,0.0577559421513,0.191134222942,70,69,ok
393,20260917,True,,59,0.0770918821586,0.169427981751,59,58,ok
394,20260917,True,,69,0.0599767513425,0.155262483371,69,68,ok
395,20260917,True,,75,0.0650457930506,0.0498956486546,75,74,ok
396,20260917,True,,60,0.117868775351,0.107294131168,60,59,ok
397,20260917,True,,65,0.0857234794116,0.117473710943,65,64,ok
398,20260917,True,,69,0.0831562238086,0.128427688825,69,68,ok
399,20260917,True,,69,0.123043765804,0.140636675017,69,68,ok
400,20260917,True,,69,0.045622929814,0.166252557281,69,68,ok
401,20260917,True,,57,0.0650118201633,0.10861654055,57,56,ok
402,20260917,True,,62,0.0798855852398,0.0580589443966,62,61,ok
403,20260917,True,,70,0.0732599704441,0.0474833338891,70,69,ok
404,20260917,True,,73,0.0397228214352,0.00583155370479,73,72,ok
